PWSID,PRIMARY_SOURCE_CODE,OWNER_TYPE_CODE,SERVICE_CONNECTIONS_COUNT,COUNTIES_SERVED,all_violations,health_violations,primary_source,owner_type
NJ2119001,GU,P,10312,Warren,0.0,0.0,Ground water under influence of surface water source,Private
NJ1015004,GW,P,69,Hunterdon,0.0,0.0,Ground water,Private
NJ2120002,GW,P,73,Warren,0.0,0.0,Ground water,Private
NJ1019001,GW,P,97,Hunterdon,1.0,0.0,Ground water,Private
NJ0805002,GW,P,46,Gloucester,0.0,0.0,Ground water,Private
NJ2110001,GW,P,52,Warren,0.0,0.0,Ground water,Private
NJ2110003,GW,P,17,Warren,0.0,0.0,Ground water,Private
NJ1907002,GW,P,88,Sussex,0.0,0.0,Ground water,Private
NJ1908001,GU,P,46,Sussex,0.0,0.0,Ground water under influence of surface water source,Private
NJ1015003,GW,P,239,Hunterdon,0.0,0.0,Ground water,Private
NJ1004001,GW,P,596,Hunterdon,0.0,0.0,Ground water,Private
NJ1904009,GW,P,153,Sussex,3.0,2.0,Ground water,Private
NJ1438001,GW,P,34,Morris,2.0,1.0,Ground water,Private
NJ1911001,GW,P,389,Sussex,2.0,0.0,Ground water,Private
NJ1911004,GW,L,76,Sussex,1.0,0.0,Ground water,Local Government
NJ1505003,GW,P,1272,Ocean,0.0,0.0,Ground water,Private
NJ1415001,GW,P,860,Morris,1.0,0.0,Ground water,Private
NJ0211001,SWP,L,5300,Bergen,2.0,1.0,Surface water purchased,Local Government
NJ1408001,GW,L,5000,Morris,18.0,0.0,Ground water,Local Government
NJ0429001,GW,P,2,Camden,20.0,0.0,Ground water,Private
NJ0108023,GW,P,124,Atlantic,0.0,0.0,Ground water,Private
NJ1216001,GU,L,8611,Middlesex,17.0,0.0,Ground water under influence of surface water source,Local Government
NJ1009001,GW,L,1316,Hunterdon,3.0,0.0,Ground water,Local Government
NJ0512001,GWP,L,795,Cape May,0.0,0.0,Groundwater purchased,Local Government
PA6370015,GW,P,28,Lawrence,9.0,0.0,Ground water,Private
NJ1910002,GW,P,129,Sussex,0.0,0.0,Ground water,Private
NJ1906001,GW,P,167,Sussex,4.0,0.0,Ground water,Private
NJ1518345,GW,P,1,Ocean,0.0,0.0,Ground water,Private
NJ0123002,GW,P,475,Atlantic,3.0,0.0,Ground water,Private
NJ0319001,SWP,L,4377,Burlington,9.0,0.0,Surface water purchased,Local Government
NJ1615340,GW,P,1,Passaic,1.0,1.0,Ground water,Private
NJ0323001,SWP,P,14295,Burlington,0.0,0.0,Surface water purchased,Private
NJ1707001,SWP,P,4629,Salem,0.0,0.0,Surface water purchased,Private
NJ0808001,SWP,P,2675,Gloucester,0.0,0.0,Surface water purchased,Private
NJ0333004,GW,P,240,Burlington,0.0,0.0,Ground water,Private
NJ0329006,GW,P,334,Burlington,0.0,0.0,Ground water,Private
NJ0318002,GW,P,1210,Burlington,1.0,0.0,Ground water,Private
NJ0301001,GW,P,24,Burlington,1.0,0.0,Ground water,Private
NJ1524001,SWP,L,7850,Ocean,15.0,1.0,Surface water purchased,Local Government
NJ2104001,GW,L,214,Warren,4.0,0.0,Ground water,Local Government
NJ1427010,GW,P,17,Morris,1.0,0.0,Ground water,Private
PA7360094,GW,M,59,Lancaster,0.0,0.0,Ground water,Mixed
NJ0233005,GW,P,135,Bergen,2.0,0.0,Ground water,Private
NJ0311002,GW,P,39,Burlington,1.0,0.0,Ground water,Private
NJ0514001,GW,L,17055,Cape May,1.0,0.0,Ground water,Local Government
NJ1530007,GW,P,11,Ocean,0.0,0.0,Ground water,Private
NJ2103002,GW,P,4,Warren,3.0,2.0,Ground water,Private
NJ1345001,SW,P,125947,"Monmouth,Ocean",3.0,0.0,Surface water,Private
NJ1350001,SWP,L,2450,Monmouth,0.0,0.0,Surface water purchased,Local Government
NJ1518002,GW,P,1236,Ocean,0.0,0.0,Ground water,Private
PA6200066,GW,P,102,Crawford,2.0,0.0,Ground water,Private
NY1710675,GW,P,20,Fulton,1.0,0.0,Ground water,Private
PA3480054,GW,P,25,Northampton,17.0,0.0,Ground water,Private
NJ0428002,SWP,L,3304,Camden,0.0,0.0,Surface water purchased,Local Government
NJ1606301,GW,P,1,Passaic,0.0,0.0,Ground water,Private
NJ0424001,SWP,L,15010,Camden,28.0,0.0,Surface water purchased,Local Government
NJ0712001,SW,P,81832,"Essex,Hunterdon,Morris,Passaic,Somerset,Union,Warren",1.0,0.0,Surface water,Private
NJ1407001,GW,P,120,Morris,0.0,0.0,Ground water,Private
NJ1021363,GW,L,284,Hunterdon,0.0,0.0,Ground water,Local Government
NJ1315001,GW,L,4010,Monmouth,3.0,0.0,Ground water,Local Government
NJ0123001,GWP,L,206,Atlantic,0.0,0.0,Groundwater purchased,Local Government
NJ0713001,SWP,L,10635,Essex,0.0,0.0,Surface water purchased,Local Government
NJ1414008,GW,P,54,Morris,0.0,0.0,Ground water,Private
NJ0516003,GW,P,236,Cape May,20.0,0.0,Ground water,Private
NJ0506004,GW,P,79,Cape May,0.0,0.0,Ground water,Private
NJ0715002,SWP,L,15,Essex,2.0,0.0,Surface water purchased,Local Government
NJ1401001,SW,L,2888,Morris,3.0,0.0,Surface water,Local Government
NJ1006300,GW,P,1,Hunterdon,0.0,0.0,Ground water,Private
NJ1615009,GW,P,20,Passaic,1.0,0.0,Ground water,Private
NJ0339001,GW,S,40,Burlington,2.0,0.0,Ground water,State Government
NJ1438004,GW,L,1492,Morris,18.0,0.0,Ground water,Local Government
NJ0435003,GW,L,1021,Camden,0.0,0.0,Ground water,Local Government
NJ1904004,GW,P,31,Sussex,11.0,6.0,Ground water,Private
NJ0806001,SWP,L,6200,Gloucester,0.0,0.0,Surface water purchased,Local Government
NJ1019311,GW,P,1,Hunterdon,0.0,0.0,Ground water,Private
NJ0326001,GW,P,140,Burlington,2.0,2.0,Ground water,Private
NJ1224001,SWP,L,2137,Middlesex,3.0,1.0,Surface water purchased,Local Government
NJ1431002,SWP,L,14,Morris,0.0,0.0,Surface water purchased,Local Government
NJ0326005,GW,P,32,Burlington,1.0,1.0,Ground water,Private
NJ0326003,GW,P,48,Burlington,3.0,2.0,Ground water,Private
NJ0329003,GW,L,542,Burlington,1.0,0.0,Ground water,Local Government
NJ0329009,GWP,L,160,Burlington,0.0,0.0,Groundwater purchased,Local Government
NJ0329004,GW,L,4070,Burlington,15.0,0.0,Ground water,Local Government
NJ0329001,GW,P,51,Burlington,0.0,0.0,Ground water,Private
NJ1417001,GW,L,4815,Morris,0.0,0.0,Ground water,Local Government
NJ0505002,GW,L,9882,Cape May,20.0,0.0,Ground water,Local Government
NJ1715001,GW,L,1390,Salem,7.0,0.0,Ground water,Local Government
NJ1518001,GW,P,552,Ocean,0.0,0.0,Ground water,Private
NJ0705001,SWP,L,9953,Essex,1.0,0.0,Surface water purchased,Local Government
NJ0811002,SWP,L,9567,Gloucester,5.0,0.0,Surface water purchased,Local Government
NJ0436002,GW,P,70,Camden,1.0,0.0,Ground water,Private
NJ0436009,GW,P,70,Camden,0.0,0.0,Ground water,Private
NJ1710006,GW,P,21,Salem,0.0,0.0,Ground water,Private
NJ1511001,GW,L,11000,Ocean,0.0,0.0,Ground water,Local Government
NJ0802001,SWP,L,11014,Gloucester,0.0,0.0,Surface water purchased,Local Government
NJ1514002,SWP,L,8050,Ocean,1.0,0.0,Surface water purchased,Local Government
NJ0902001,SWP,L,300,Hudson,0.0,0.0,Surface water purchased,Local Government
NJ0117001,GW,P,90,Atlantic,2.0,0.0,Ground water,Private
NJ1613002,SWP,L,3668,Passaic,0.0,0.0,Surface water purchased,Local Government
NJ0614004,GW,P,170,Cumberland,1.0,0.0,Ground water,Private
NJ1316001,SWP,L,10284,Monmouth,0.0,0.0,Surface water purchased,Local Government
NJ1309002,SWP,P,227,Monmouth,0.0,0.0,Surface water purchased,Private
NJ1904006,GW,P,35,Sussex,2.0,1.0,Ground water,Private
NJ0701001,SWP,L,7339,Essex,6.0,0.0,Surface water purchased,Local Government
NJ0901001,SWP,L,11730,Hudson,0.0,0.0,Surface water purchased,Local Government
NJ0412001,GW,L,6120,Camden,52.0,0.0,Ground water,Local Government
NJ1439001,GW,L,2116,Morris,2.0,0.0,Ground water,Local Government
NJ0502001,GW,L,3673,Cape May,1.0,0.0,Ground water,Local Government
NJ0814001,GW,L,2238,Gloucester,1.0,1.0,Ground water,Local Government
NJ1714003,GW,P,21,Salem,2.0,0.0,Ground water,Private
NJ0112001,GW,L,4611,Atlantic,0.0,0.0,Ground water,Local Government
NJ0411001,GW,L,1562,Camden,1.0,0.0,Ground water,Local Government
NJ1511010,GW,F,307,Ocean,0.0,0.0,Ground water,Federal Government
NJ0325001,SW,F,1100,Burlington,1.0,1.0,Surface water,Federal Government
NJ1006302,GW,P,1,Hunterdon,0.0,0.0,Ground water,Private
NJ1349001,SWP,L,2317,Monmouth,0.0,0.0,Surface water purchased,Local Government
MD0060206,GW,P,160,Carroll,0.0,0.0,Ground water,Private
NJ1603001,SWP,L,4461,Passaic,0.0,0.0,Surface water purchased,Local Government
NJ1922008,GW,P,206,Sussex,0.0,0.0,Ground water,Private
NJ1433001,SWP,L,1150,Morris,1.0,0.0,Surface water purchased,Local Government
NJ0320002,GW,P,53,Burlington,0.0,0.0,Ground water,Private
NJ1107001,GW,P,82,Mercer,0.0,0.0,Ground water,Private
NJ0103001,GW,L,6700,Atlantic,16.0,0.0,Ground water,Local Government
NJ0326006,GW,F,3000,Burlington,1.0,0.0,Ground water,Federal Government
NJ1414003,GW,L,1568,Morris,16.0,0.0,Ground water,Local Government
NJ1414016,GW,P,24,Morris,2.0,0.0,Ground water,Private
NJ1414011,GW,L,2490,Morris,3.0,2.0,Ground water,Local Government
NJ0605004,GW,F,18,Cumberland,0.0,0.0,Ground water,Federal Government
NJ1024001,GW,P,82,Hunterdon,0.0,0.0,Ground water,Private
NJ0820001,SWP,L,5452,Gloucester,3.0,0.0,Surface water purchased,Local Government
NJ0305001,SW,L,3712,Burlington,4.0,4.0,Surface water,Local Government
NJ1104001,GW,L,1791,Mercer,1.0,0.0,Ground water,Local Government
NJ0340001,GW,L,230,Burlington,1.0,0.0,Ground water,Local Government
NJ1108001,GW,L,968,Mercer,39.0,0.0,Ground water,Local Government
NJ0817001,GW,L,1055,Gloucester,0.0,0.0,Ground water,Local Government
NJ2116002,GW,P,28,Warren,1.0,0.0,Ground water,Private
